CID	CAS	CanonicalSmiles	xlogp	tpsa
439250	5989-54-8	CC1=CCC(CC1)C(=C)C	0.0	3.4
15466	1668-54-8	CC1=NC(=NC(=N1)OC)N	73.9	0.3
3893	143-07-7	CCCCCCCCCCCC(=O)O	37.3	4.2
36377	33210-37-6	CCOC(C1=CC=C(C=C1)Cl)C2=NCCCCN2	33.6	2.5
76716	3236-71-3	C1=CC=C2C(=C1)C3=CC=CC=C3C2(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O	40.5	6.0
440966	5794-04-7	CC1(C2CCC(C2)C1=C)C	0.0	3.3
5480	24237-54-5	CCOC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)N	83.8	3.4
159977	24886-52-0	CN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C	44.7	1.7
38073	38615-43-9	CCCCNCCCCCCN	38.1	1.5
3397	13311-84-7 	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F	74.9	3.3
3035517	103079-06-7	CC(C)(C1CC=C(C(C1)O)CCO)O	60.7	-0.1
2585	72956-09-3	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O	75.7	4.2
21073	4960-47-8	CN(CC1=C(C=C(C=C1)Cl)Cl)S(=O)(=O)N	71.8	1.6
21319	1847-24-1	CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	138.0	2.6
10406	502-59-0	CC(C)CCCC(C)NCCC(C)C	12.0	4.5
395636	54941-66-1	C1CN2C(=N1)C3=CC=CC=C3C2(C4=CC=C(C=C4)C5=CC=CC=C5)O	35.8	3.2
197930	14689-51-1	C1=CC2=C(C(=C1)[N+](=O)[O-])N=C(N2)C(F)(F)F	74.5	2.1
60999	102-16-9	C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2	26.3	3.2
2771871	87-56-9	C(=O)C(=C(C(=O)O)Cl)Cl	54.4	1.2
31018	3731-52-0	C1=CC(=CN=C1)CN	38.9	-0.3
37262	35782-82-2	CC1NC(=O)C2=C(O1)C=CC(=C2)N	64.4	0.8
3045374	91893-68-4	CCCN(CC)S(=O)(=O)CCNC(=O)N(CCCl)N=O	108.0	1.5
10438	504-20-1	CC(=CC(=O)C=C(C)C)C	17.1	2.8
16133	1985-12-2	C1=CC(=CC=C1N=C=S)Br	44.5	4.0
94515	41123-69-7	C(CS(=O)(=O)CS(=O)(=O)CCO)O	126.0	-2.3
108143	94497-51-5	CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C	66.4	5.4
6265	70-38-2	CC1=CC(=C(C=C1)COC(=O)C2C(C2(C)C)C=C(C)C)C	26.3	6.2
68604	86487-64-1	CC1=C(C(=O)N2CCSC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F	78.3	2.8
441336	83919-23-7	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C	93.8	3.9
13709	950-37-8	COC1=NN(C(=O)S1)CSP(=S)(OC)OC	143.0	2.4
5284533	1961-77-9	CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)O	54.4	3.0
77113	3568-56-7	CCOP(=S)(NC)OC1=CC(=C(C=C1)SC)C	87.9	4.2
198664	90220-19-2	CCCP(=O)(OC)SC	51.6	0.8
32594	24683-00-9	CC(C)CC1=NC=CN=C1OC	35.0	2.6
61384	6290-37-5	CCCCCC(=O)OCCC1=CC=CC=C1	26.3	4.2
208947	129300-27-2	CC1=C2CCC(C(=O)N2C3=CC=CC=C13)CC4=C(NC=N4)C	50.7	3.2
30530	21228-13-7	CC1=NC=C(C=C1)CCN2C3=C(CN(CC3)C)C4=C2C=CC(=C4)Cl	21.1	3.8
8085	110-96-3	CC(C)CNCC(C)C	12.0	2.5
3019490	83929-47-9	COC(=O)C1=C(C=C(C=C1)C(=O)NC2=C(C=CC(=C2)Cl)Cl)[N+](=O)[O-]	101.0	3.8
13238367	7431-19-8	CN(C1=CC=C(C=C1)C=O)N=O	49.7	1.5
68947	1093-58-9	CC12CCC3C(C1CCC2O)CCC4=C(C(=O)CCC34C)Cl	37.3	4.2
31256	123-42-2	CC(=O)CC(C)(C)O	37.3	-0.2
22091	5834-97-9	C=CC=NNC1=CC=CC=C1	24.4	2.5
7076	92-06-8	C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3	0.0	5.6
5483	1953-02-2	CC(C(=O)NCC(=O)O)S	67.4	-0.1
8336	117-55-5	C1=CC2=C(C=CC(=C2C(=C1)S(=O)(=O)O)N)S(=O)(=O)O	152.0	0.0
795	288-32-4	C1=CN=CN1	28.7	-0.1
90407	24207-38-3	C1=CC=C(C(=C1)C(=O)NCCO)O	69.6	0.7
4538	536-21-0	C1=CC(=CC(=C1)O)C(CN)O	66.5	-0.8
39978	51308-54-4	CCCCSC(=NC1=CN=CC=C1)SCC2=CC=C(C=C2)C(C)(C)C	75.9	7.0
7632	103-05-9	CC(C)(CCC1=CC=CC=C1)O	20.2	2.1
16627	2206-89-5	C=CC(=O)OCCCl	26.3	1.1
6918178	66852-54-8	CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)CCl	80.7	3.7
8607	133-07-3	C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl	62.7	2.8
93516	96182-53-5	CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C	85.6	4.2
7677	103-76-4	C1CN(CCN1)CCO	35.5	-1.1
6786	84-75-3	CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC	52.6	6.9
42991	59263-66-0	CC1=CC(=C(C=C1)N=CN(C)SN(C)C=NC2=C(C=C(C=C2)C)C)C	56.5	5.8
7704	104-50-7	CCCCC1CCC(=O)O1	26.3	1.6
34763	29964-84-9	CC(C)CCCCCCCOC(=O)C(=C)C	26.3	5.8
5284419	11013-97-1	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)OC)O)O)O)O)O)O)O	223.0	-0.8
3079279	125055-57-4	CCCCCCNC(=O)C1=CN=C2C=CC=C(N2C1=O)C	61.8	2.9
151414	6389-81-7	CCSP(=O)(OC)OC	60.8	0.4
3040916	53083-96-8	CC1=C2C(=CC=C1)C(=O)C(C2=O)C3=C(C=CC=C3Cl)Cl	34.1	4.7
22628	116-81-4	C1=CC=C2C(=C1)C(=O)C3=C(C=C(C(=C3C2=O)N)S(=O)(=O)O)Br	123.0	2.2
7381	98-29-3	CC(C)(C)C1=CC(=C(C=C1)O)O	40.5	2.7
5452	50-52-2	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC	57.1	5.9
59308	102366-79-0	C1NC2=C(N1)N=CN=C2NCC3=CC=CC=C3	61.9	2.2
66721	92-79-5	COC1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3C=C2O	58.6	4.2
135400175	34320-82-6	C1C(=NC2=CC=C(C=C2)[N+](=O)[O-])NN(C1=O)C3=C(C=C(C=C3Cl)Cl)Cl	90.5	4.2
77603	3984-22-3	C=CC1OCCO1	18.5	0.5
207653	30406-18-9	CCCCCCC(=O)NO	49.3	1.5
71360	133454-47-4	CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC	64.8	4.1
135403591	5502-78-3	CN1C=NC2=C1N=C(NC2=O)N	85.3	-0.9
61973	37971-36-1	C(CC(CC(=O)O)(C(=O)O)P(=O)(O)O)C(=O)O	169.0	-2.8
60997	101-94-0	CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2	26.3	3.6
7034	90-98-2	C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Cl)Cl	17.1	4.9
11748	600-22-6	CC(=O)C(=O)OC	43.4	0.0
6348	75-15-0	C(=S)=S	64.2	2.1
12171	623-25-6	C1=CC(=CC=C1CCl)CCl	0.0	2.7
22094	5836-10-2	CC(C)OC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O	46.5	4.7
68414	561-41-1	CNC1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)(C3=CC=C(C=C3)N(C)C)O	38.7	4.4
4034	569-65-3	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl	6.5	5.8
26596	14255-87-9	CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	67.0	3.4
11776	603-35-0	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3	0.0	4.6
8467	121-32-4	CCOC1=C(C=CC(=C1)C=O)O	46.5	1.6
208836	14587-50-9	CC(C(C1=CC=CC=C1)O)N(C)CCOC(C2=CC=CC=C2)C3=CC=CC=C3	32.7	4.6
853433	97-54-1	CC=CC1=CC(=C(C=C1)O)OC	29.5	2.6
17521	2635-10-1	CC1=CC(=CC(=C1S(=O)C)C)OC(=O)NC	74.6	1.5
3035270	721-26-6	CC(C)(C1=CC(=CC=C1)C(C)(C)OO)OO	58.9	1.4
13381	872-05-9	CCCCCCCCC=C	0.0	5.7
7160	93-78-7	CC(C)OC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl	35.5	4.4
7272	95-96-5	CC1C(=O)OC(C(=O)O1)C	52.6	0.6
246728	106-68-3	CCCCCC(=O)CC	17.1	2.3
7635	103-09-3	CCCCC(CC)COC(=O)C	26.3	3.2
2230	63-75-2	CN1CCC=C(C1)C(=O)OC	29.5	0.3
33626	26846-51-5	C1=C(C2=C(C(=N)C=C(C2=O)Br)C(=C1Br)O)N	87.2	2.6
8532	130-20-1	C1=CC=C2C(=C1)C(=O)C3=CC(=C4C(=C3C2=O)NC5=C(C=C6C(=C5N4)C(=O)C7=CC=CC=C7C6=O)Cl)Cl	92.3	6.1
21651	5486-03-3	CCOC(=O)C1=CNC2=CC(=C(C=C2C1=O)OCC(C)C)OCC(C)C	73.9	4.6
3075664	195252-47-2	C1CC1CN2C=NC3=C(N=C(N=C32)C(F)(F)F)NC4CC4	55.6	2.5
14284	1122-58-3	CN(C)C1=CC=NC=C1	16.1	1.3
459494	2110-18-1	C1=CC=C(C=C1)CCCC2=CC=CC=N2	12.9	3.2
9253	287-92-3	C1CCCC1	0.0	3.0
3039472	50673-09-1	CCCCCCCCCCCCSN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	64.1	8.6
131204	81-13-0	CC(C)(CO)C(C(=O)NCCCO)O	89.8	-0.9
75356	2338-27-4	C1=C2C(=C(C(=C1Cl)Cl)Cl)N=C(N2)C(F)(F)F	28.7	3.9
7359	97-96-1	CCC(CC)C=O	17.1	1.5
7819	106-63-8	CC(C)COC(=O)C=C	26.3	2.2
8653	134-85-0	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	17.1	4.1
7515	100-61-8	CNC1=CC=CC=C1	12.0	1.7
5280961	446-72-0 	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O	87.0	2.7
94648	69103-20-4	CC(=CCC1C(O1)(C)C)C=C	12.5	2.9
4058	57-42-1	CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2	29.5	2.5
104838	64221-86-9	CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O	142.0	-0.7
21700	5534-09-8	CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC	107.0	3.0
62340	93-90-3	CN(CCO)C1=CC=CC=C1	23.5	1.7
15452	1656-48-0	C(COCCC#N)C#N	56.8	-0.5
9324	302-22-7	CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)OC(=O)C	60.4	3.6
74978	2094-98-6	C1CCC(CC1)(C#N)N=NC2(CCCCC2)C#N	72.3	3.4
3021906	91893-39-9	C1=CC=C(C=C1)CNS(=O)(=O)CCNC(=O)N(CCCl)N=O	116.0	1.5
75945	2728-04-3	CCN(CC)C(=O)C1=CC=CC=C1C	20.3	3.1
33746	27223-35-4	CC1=CC(=O)N2CC(=O)N(C3=C(C2(O1)C4=CC=CC=C4)C=C(C=C3)Cl)C	49.9	3.0
6167	64-86-8	CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	83.1	1.0
4410	124858-35-1	CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O	81.1	2.9
6912870	110-25-8	CCCCCCCCC=CCCCCCCCC(=O)N(C)CC(=O)O	57.6	6.8
6478	77-47-4	C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl	0.0	5.0
6574	79-00-5	C(C(Cl)Cl)Cl	0.0	1.9
4727	52-66-4	CC(C)(C(C(=O)O)N)S	64.3	-1.8
73857	1471-52-9	CC(C)(COC(=O)N)COC(=O)N	105.0	-0.2
93184	35531-88-5	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)O)C	138.0	3.8
50942	69975-86-6	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC3OCCO3	76.9	-0.9
82916	111-78-4	C1CC=CCCC=C1	0.0	3.2
12161	622-97-9	CC1=CC=C(C=C1)C=C	0.0	3.6
2366	5638-76-6	CNCCC1=CC=CC=N1	24.9	0.4
50516	69409-94-5	CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl	71.4	7.7
13514	918-00-3	CC(=O)C(Cl)(Cl)Cl	17.1	1.8
9570629	55391-34-9	CNC(=O)ON=C1CSCCS1	101.0	0.5
75420	2380-63-4	C1=NNC2=NC=NC(=C21)N	80.5	-0.2
6918289	162635-04-3	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC	242.0	5.6
8058	110-54-3	CCCCCC	0.0	3.9
7601	102-20-5	C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2	26.3	3.9
44153097	90268-24-9	CC1=CC(=C(C=C1)NC(=O)C(C(=O)C)N=NC2=C(C=C(C=C2)C3=CC(=C(C=C3)N=NC(C(=O)C)C(=O)NC4=CC(=C(C=C4OC)Cl)OC)Cl)Cl)C	160.0	9.4
110747	5988-91-0	CC(C)CCCC(C)CC=O	17.1	3.4
8501	122-01-0	C1=CC(=CC=C1C(=O)Cl)Cl	17.1	3.6
5541	102-76-1 	CC(=O)OCC(COC(=O)C)OC(=O)C	78.9	0.2
16821	2305-05-7	CCCCCCCCC1CCC(=O)O1	26.3	3.8
7206	94-80-4	CCCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl	35.5	4.4
6948	88-82-4	C1=C(C=C(C(=C1C(=O)O)I)I)I	37.3	3.4
3715	53-86-1	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	68.5	4.3
12163	623-03-0	C1=CC(=CC=C1C#N)Cl	23.8	2.6
71113	2430-27-5	CCCC(CCC)C(=O)N	43.1	2.1
124186	54622-43-4	C(C(CN(CP(=O)(O)O)CP(=O)(O)O)O)N(CP(=O)(O)O)CP(=O)(O)O	257.0	-11.8
87032	17291-84-8	CC1=C(C(=CC=C1)C)CCNC(=O)N	55.1	1.7
31645	23103-98-2	CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C	58.6	1.7
3086749	111856-34-9	C1COCCN1CCCNS(=O)(=O)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=CC=C3	130.0	2.1
163659	18378-89-7	CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O	358.0	0.6
8445	120-71-8	CC1=CC(=C(C=C1)OC)N	35.3	1.7
5284462	22248-79-9	COP(=O)(OC)OC(=CCl)C1=CC(=C(C=C1Cl)Cl)Cl	44.8	3.5
76927	3393-59-7	C1=C(C2=C(C(=C1Cl)Cl)NC(=N2)C(F)(F)F)Cl	28.7	3.8
28483	17335-06-7	CCOC(=O)C1=NOC(=C1C(=O)C2=CC=CC=C2)C	69.4	2.7
3734371	71294-03-6	C1C2=C(C(=CC=C2)F)NC1=O	29.1	0.9
21072	4957-16-8	CC1=CC(=C(C=C1C)CC2=C(C=C(C(=C2)C)C)C)C	0.0	6.0
3747	35212-22-7	CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3	35.5	4.0
6438483	53839-71-7	CCOC(=O)C1=CC=C(C=C1)NC(=O)C=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C	55.4	7.8
3373	78755-81-4	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	64.4	1.0
10937610	135590-91-9	CCOC(=O)C1=NN(C(C1)(C)C(=O)OCC)C2=C(C=C(C=C2)Cl)Cl	68.2	3.9
10219	483-18-1	CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC	52.2	4.7
522046	623-53-0	CCOC(=O)OC	35.5	0.9
62375	1125-88-8	COC(C1=CC=CC=C1)OC	18.5	1.6
12459	633-99-8	C1=CC=C2C(=C1)C=CC(=C2Cl)O	20.2	3.4
74325	1693-37-4	CCC(=O)NC1=CC=C(C=C1)O	49.3	1.3
4909	125-33-7	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2	58.2	0.9
41462	55511-98-3	CC(C)(C)C1=NN=C(S1)N2C(CN(C2=O)C)O	97.8	1.0
15400	1631-29-4	C1=CC(=CC=C1N2C(=O)C=CC2=O)Cl	37.4	1.7
9877	425-87-6	COC(C(F)Cl)(F)F	9.2	2.0
8710	137-03-1	CCCCCCCC1CCCC1=O	17.1	4.0
6479	77-48-5	CC1(C(=O)N(C(=O)N1Br)Br)C	40.6	1.5
4659569	134308-13-7	CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]	103.0	3.3
7015	90-41-5	C1=CC=C(C=C1)C2=CC=CC=C2N	26.0	2.8
222285	149-32-6	C(C(C(CO)O)O)O	80.9	-2.3
7112	92-88-6	C1=CC(=CC=C1C2=CC=C(C=C2)O)O	40.5	3.6
71863	13877-99-1	CN(C)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2	38.8	3.0
62334	88-41-5	CC(=O)OC1CCCCC1C(C)(C)C	26.3	3.6
6503	77-86-1	C(C(CO)(CO)N)O	86.7	-2.9
62389	1214-39-7	C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3	66.5	2.1
9888347	368832-42-2	CCC1CCC(C(N1)C2=CC=CC=C2)NCC3=CC4=C(C=C3OC)C5CC5C(=O)N4C	53.6	3.2
82524	10291-28-8	CC1=CC=C(C=C1)NC2=CC(=C(C=C2C(=O)O)NC3=CC=C(C=C3)C)C(=O)O	98.7	5.9
8472	121-45-9	COP(OC)OC	27.7	0.1
104121	52217-47-7	CCN(C(=O)NC(=O)C)N=O	78.8	0.0
21694	5522-43-0	C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-]	45.8	5.0
52542	73815-11-9	COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCC3=CC(=CC=C3)C#N	71.8	2.6
9388	307-35-7	C(C(C(C(C(F)(F)S(=O)(=O)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F	42.5	6.0
12572	644-64-4	CC1=CC(=NN1C(=O)N(C)C)OC(=O)N(C)C	67.7	0.6
5282493	34097-16-0	CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F	80.7	4.5
24678	25168-26-7	CC(C)CCCCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl	35.5	6.3
8037	110-18-9	CN(C)CCN(C)C	6.5	0.3
446925	502-65-8	CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C	0.0	15.6
456389	101831-37-2	C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl	85.6	4.1
117856	26748-41-4	CC(C)(C)CCCCCC(=O)OOC(C)(C)C	35.5	4.8
175045	72364-91-1	CC1=CC2=C(C=C1C)C(=O)C3=NNN=C3C2=O	75.7	1.9
65940	120824-08-0	C1=CC=C(C=C1)S(=O)(=O)NCCC2=CC=C(S2)OCC(=O)O	129.0	2.5
62629	7195-45-1	C1C(O1)COC(=O)C2=CC=CC=C2C(=O)OCC3CO3	77.7	1.1
5360515	16590-41-3	C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O	70.0	1.9
83191	13162-05-5	C=CNC=O	29.1	0.0
18692	3296-90-0	C(C(CO)(CBr)CBr)O	40.5	0.5
6083	61-19-8	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N	186.0	-3.5
446284	10417-94-4	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	37.3	5.6
29120	18527-35-0	C1=CC(=CC(=C1)Cl)SCC2=NNN=N2	79.8	2.1
13116	801-52-5	CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N	128.0	-0.4
5284592	51022-71-0	CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O	46.5	6.4
128390	103446-98-6	CCCCN1C2=NN(C(=C2C(=O)N(C1=O)CCC)NC)C(=O)OC	96.8	2.8
31344	126-30-7	CC(C)(CO)CO	40.5	0.0
23546	7158-32-9	C1=CC(=CC=C1C(=O)Cl)OC2=CC=C(C=C2)C(=O)Cl	43.4	4.5
149096	100986-85-4	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O	73.3	-0.4
142891	51934-41-9	CCOC(=O)C1=CC=C(C=C1)I	26.3	3.3
3021310	88599-70-6	CCCCCCCCCCCCCCCC1=CC(=CC=C1)OC(=O)C2=C(C=CC(=C2)Cl)OC(=O)N	78.6	11.0
26368	13980-04-6	C1N(CN(CN1N=O)N=O)N=O	98.0	0.2
115368	129273-38-7	C1CCC2C(C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54	85.0	3.9
