name	severity	CID	MolecularFormula	MolecularWeight	CanonicalSMILES	IUPACName	LogP	TPSA	fp
vinblastine	0	13342	C46H58N4O9	811.0	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	methyl (1R,9R,10S,11R,12R,19R)-11-acetyloxy-12-ethyl-4-[(13S,15R,17S)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylate	3.990900000000004	154.1	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb810>
raloxifene	0	5035	C28H27NO4S	473.6	C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O	[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]-[4-(2-piperidin-1-ylethoxy)phenyl]methanone	6.075200000000007	70.0	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cbed0>
mifepristone	0	55245	C29H35NO2	429.6	CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O	(8S,11R,13S,14S,17S)-11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one	5.406500000000007	40.540000000000006	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cba50>
hydrocortisone	0	5754	C21H30O5	362.5	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one	1.7815999999999996	94.83000000000001	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cbe10>
ergocalciferol	0	5280793	C28H44O	396.6	CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol	7.641000000000009	20.23	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cbab0>
isoproterenol	0	3779	C11H17NO3	211.26	CC(C)NCC(C1=CC(=C(C=C1)O)O)O	4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol	1.1291999999999998	72.72	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cbb70>
primidone	0	4909	C12H14N2O2	218.25	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2	5-ethyl-5-phenyl-1,3-diazinane-4,6-dione	0.5378999999999994	58.2	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e76f0>
digoxin	0	2724385	C41H64O14	780.9	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O	3-[(3S,5R,8R,9S,10S,12R,13S,14S,17R)-3-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one	2.2181000000000024	203.06	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb510>
dextrose	0	66370	C6H14O7	198.17	C(C1C(C(C(C(O1)O)O)O)O)O.O	(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol;hydrate	-4.046099999999998	141.88	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7f90>
protirelin	0	638678	C16H22N6O4	362.38	C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N	(2S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide	-1.808099999999997	150.28	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7750>
sincalide	0	9833444	C49H62N10O16S3	1143.3	CSCCC(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)N	(3S)-3-amino-4-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-4-methylsulfanyl-1-oxobutan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-2-oxoethyl]amino]-4-methylsulfanyl-1-oxobutan-2-yl]amino]-1-oxo-3-(4-sulfooxyphenyl)propan-2-yl]amino]-4-oxobutanoic acid	-1.329399999999998	426.79999999999995	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7c30>
secretin	0	16129665	C130H219N43O42	3056.4	CC(C)CC(C(=O)NC(C(C)C)C(=O)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC2=NC=CN2)N	5-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[5-amino-1-[[1-[[1-[[1-[[5-amino-1-[[2-[[1-[(1-carboxy-2-methylpropyl)amino]-4-methyl-1-oxopentan-2-yl]amino]-2-oxoethyl]amino]-1,5-dioxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-4-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-amino-3-(1H-imidazol-2-yl)propanoyl]amino]-3-hydroxypropanoyl]amino]-3-carboxypropanoyl]amino]acetyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]-3-hydroxybutanoyl]amino]-3-hydroxypropanoyl]amino]-5-oxopentanoic acid	-17.444020000000144	1415.6599999999996	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb570>
deferoxamine	0	2973	C25H48N6O8	560.7	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O	N-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentyl]-N'-(5-aminopentyl)-N'-hydroxybutanediamide	0.9221000000000046	205.83999999999995	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7c90>
fludrocortisone	0	31378	C21H29FO5	380.4	CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F	(8S,9R,10S,11S,13S,14S,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one	1.8737	94.83000000000001	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7690>
ioversol	0	3741	C18H24I3N3O9	807.1	C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO	1-N,3-N-bis(2,3-dihydroxypropyl)-5-[(2-hydroxyacetyl)-(2-hydroxyethyl)amino]-2,4,6-triiodobenzene-1,3-dicarboxamide	-2.0159999999999987	199.88999999999996	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e78d0>
phentolamine	0	5775	C17H19N3O	281.35	CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O	3-[N-(4,5-dihydro-1H-imidazol-2-ylmethyl)-4-methylanilino]phenol	2.8404200000000013	47.86	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7ed0>
corticorelin ovine triflutate	0	16132344	C205H339N59O63S	4670	CCC(C)C(C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCSC)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(C)C(=O)NC(CC3=CN=CN3)C(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)N)NC(=O)C4CCCN4C(=O)C5CCCN5C(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CO)N	(4S)-5-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S,3R)-1-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-5-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-5-amino-1-[[(2S)-5-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-4-amino-1-[[(2S)-1-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-amino-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-1,4-dioxobutan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-4-methylsulfanyl-1-oxobutan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-1-[(2S)-1-[(2S)-2-[[(2S)-5-amino-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]-5-oxopentanoyl]amino]-4-carboxybutanoyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]amino]-3-methylpentanoyl]amino]-3-hydroxypropanoyl]amino]-4-methylpentanoyl]amino]-3-carboxypropanoyl]amino]-4-methylpentanoyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-4-methylpentanoyl]amino]-4-methylpentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-5-oxopentanoic acid	-19.193660000000346	1989.129999999998	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7f30>
vorinostat	0	5311	C14H20N2O3	264.32	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO	N'-hydroxy-N-phenyloctanediamide	2.4710999999999994	78.43	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7870>
nesiritide	0	71308561	C143H244N50O42S4	3464.0	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC(=O)O)CCSC)CCCCN)CCCNC(=N)N)CC2=CC=CC=C2)NC(=O)CNC(=O)C(CO)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CCSC)NC(=O)C(CCCCN)NC(=O)C3CCCN3C(=O)C(CO)N)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC4=CNC=N4)C(=O)O)CC(C)C)CO)CO)CO)CO	(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(4R,10S,16S,19S,22S,25S,28S,31S,34S,37S,40S,43S,49S,52R)-52-[[2-[[(2S)-2-[[2-[[(2S)-5-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-1-[(2S)-2-amino-3-hydroxypropanoyl]pyrrolidine-2-carbonyl]amino]hexanoyl]amino]-4-methylsulfanylbutanoyl]amino]-3-methylbutanoyl]amino]-5-oxopentanoyl]amino]acetyl]amino]-3-hydroxypropanoyl]amino]acetyl]amino]-40-(4-aminobutyl)-49-benzyl-28-[(2S)-butan-2-yl]-31,43-bis(3-carbamimidamidopropyl)-34-(carboxymethyl)-16,19,22,25-tetrakis(hydroxymethyl)-10-(2-methylpropyl)-37-(2-methylsulfanylethyl)-6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51-hexadecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50-hexadecazacyclotripentacontane-4-carbonyl]amino]hexanoyl]amino]-3-methylbutanoyl]amino]-4-methylpentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-(1H-imidazol-4-yl)propanoic acid	-20.215620000000182	1512.7399999999993	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7db0>
ganirelix acetate	0	23724914	C84H121ClN18O17	1690.4	CCNC(=NCCCCC(C(=O)NC(CC(C)C)C(=O)NC(CCCCN=C(NCC)NCC)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C)NCC.CC(=O)O.CC(=O)O	(2S)-1-[(2S)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2S)-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-acetamido-3-naphthalen-2-ylpropanoyl]amino]-3-(4-chlorophenyl)propanoyl]amino]-3-pyridin-3-ylpropanoyl]amino]-3-hydroxypropanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-6-[bis(ethylamino)methylideneamino]hexanoyl]amino]-4-methylpentanoyl]amino]-6-[bis(ethylamino)methylideneamino]hexanoyl]-N-[(2R)-1-amino-1-oxopropan-2-yl]pyrrolidine-2-carboxamide;acetic acid	2.4544999999999684	526.0899999999998	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7630>
gamma hydroxybutyric acid	0	10413	C4H8O3	104.10	C(CC(=O)O)CO	4-hydroxybutanoic acid	-0.15649999999999997	57.53	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d338e7bd0>
