	1
81167-16-0	0
34580-13-7	1
105431-72-9	0
68767-14-6	0
84057-84-1	0
53179-11-6	1
50264-69-2	1
75706-12-6	1
137-58-6	0
103577-45-3	1
79794-75-5	1
17560-51-9	0
23707-33-7	0
364-62-5	0
31430-18-9	1
75438-57-2	0
24219-97-4	1
25717-80-0	0
38304-91-5	0
964-52-3	0
73-31-4	0
16662-46-7	0
70476-82-3	1
60-40-2	0
19982-08-2	1
10262-69-8	1
39562-70-4	1
66085-59-4	1
53179-07-0	0
447-41-6	0
57149-07-2	1
4394-00-7	1
51803-78-2	1
51-12-7	0
50-65-7	1
27686-84-6	0
55985-32-5	1
21829-25-4	1
63612-50-0	1
42471-28-3	0
104-14-3	0
14698-29-4	0
1491-59-4	0
62613-82-5	0
60607-34-3	1
75444-65-4	0
13523-86-9	0
544-31-0	0
6493-05-6	0
2062-78-4	1
53179-13-8	0
61-25-6	1
60-87-7	1
54063-53-5	1
7491-74-9	0
91-84-9	1
36322-90-4	0
41078-02-8	0
58-39-9	1
54-95-5	0
53-60-1	1
156-51-4	0
98-96-4	1
125-33-7	0
28797-61-7	0
7681-67-6	1
306-07-0	0
50-33-9	1
1225-55-4	1
3605-01-4	0
51-06-9	0
55242-55-2	0
51-05-8	0
5786-68-5	1
66357-35-5	0
87051-43-2	1
1744-22-5	1
106266-06-2	0
54187-04-1	0
82640-04-8	1
91374-21-9	0
501-36-0	1
95635-55-5	0
36791-04-5	1
1054-88-2	0
3930-20-9	0
526-08-9	0
77145-61-0	0
115344-47-3	0
98631-95-9	0
18559-94-9	0
129-56-6	0
2447-54-3	1
749-02-0	1
38194-50-2	0
64603-91-4	0
89565-68-4	0
NOCAS_45208	1
80880-90-6	0
50-35-1	0
51012-33-0	0
107-35-7	1
5591-45-7	1
64-77-7	0
97-77-8	1
1156-19-0	1
51-67-2	0
396-01-0	1
83-67-0	0
1077-28-7	0
25332-39-2	1
118409-57-7	0
118409-58-8	1
25371-96-4	0
136-47-0	0
738-70-5	0
82248-59-7	1
40796-97-2	0
50-52-2	1
50679-08-8	1
1508-75-4	0
34661-75-1	0
59803-98-4	0
52-53-9	1
68506-86-5	0
2444-46-4	0
7361-61-7	0
81801-12-9	0
1218-35-5	0
37762-06-4	0
101975-10-4	0
61-75-6	0
22560-50-5	0
85666-17-7	0
27833-64-3	1
1021868-76-7	1
546-48-5	0
13755-38-9	0
50-81-7	0
51-15-0	0
51-24-1	1
52-76-6	1
53-46-3	0
53-84-9	0
54-31-9	1
54-36-4	1
54-42-2	0
55-56-1	1
56-25-7	1
56-94-0	0
57-66-9	0
57-67-0	0
57-85-2	1
57-96-5	0
58-14-0	1
58-15-1	1
58-27-5	1
58-54-8	1
59-63-2	0
59-67-6	0
59-92-7	1
59-97-2	0
60-02-6	0
60-56-0	1
60-80-0	0
61-57-4	0
61-68-7	1
61-78-9	0
61-80-3	0
62-44-2	0
62-51-1	0
62-97-5	0
63-45-6	0
63-74-1	1
64-65-3	0
64-72-2	1
64-73-3	0
64-75-5	1
64-85-7	1
66-76-2	1
68-19-9	0
68-23-5	1
68-35-9	0
68-41-7	0
7492-32-2	0
72-14-0	0
50-60-2	0
73-48-3	0
73-49-4	0
76-90-4	0
77-04-3	0
77-36-1	0
77-67-8	0
80-08-0	0
80-32-0	0
80-35-3	0
82-02-0	0
83-12-5	0
83-43-2	0
84-16-2	1
84-17-3	1
84-36-6	1
85-73-4	0
85-79-0	0
86-34-0	0
86-35-1	0
89-57-6	0
90-33-5	1
90-39-1	0
91-33-8	0
91-53-2	1
93-14-1	0
94-07-5	0
94-09-7	0
94-25-7	1
94-26-8	1
96-83-3	0
97-59-6	0
103-16-2	1
103-90-2	0
104-31-4	1
115-46-8	0
116-43-8	0
120-97-8	1
121-19-7	1
121-54-0	1
121-59-5	0
122-11-2	0
125-84-8	0
126-27-2	0
127-48-0	0
127-69-5	0
127-71-9	0
127-79-7	0
474-25-9	1
128-62-1	0
129-20-4	1
129-77-1	0
130-26-7	1
131-53-3	1
131-57-7	1
132-18-3	0
132-69-4	0
133-67-5	0
135-09-1	0
138-37-4	0
141-94-6	1
144-82-1	0
144-83-2	0
148-79-8	0
149-16-6	0
152-62-5	1
152-72-7	0
154-41-6	0
298-81-7	1
303-25-3	0
303-45-7	1
5051-22-9	0
322-79-2	0
338-98-7	0
356-12-7	0
366-70-1	0
426-13-1	1
443-48-1	0
466-06-8	1
467-55-0	0
479-18-5	0
481-06-1	0
483-63-6	0
519-37-9	0
520-26-3	0
521-78-8	1
522-48-5	0
522-97-4	1
530-78-9	1
531-75-9	1
532-03-6	0
532-59-2	0
532-76-3	0
534-87-2	0
536-33-4	1
536-43-6	1
537-12-2	1
548-73-2	0
550-83-4	0
553-08-2	1
554-57-4	0
554-92-7	0
569-57-3	1
579-56-6	0
581-88-4	0
595-33-5	1
602-41-5	0
603-00-9	0
603-50-9	1
58045-23-1	0
633-65-8	1
636-54-4	0
637-32-1	1
637-58-1	0
651-06-9	0
695-53-4	1
723-46-6	0
742-20-1	0
745-65-3	1
751-97-3	0
834-28-6	1
853-23-6	1
882-09-7	0
886-74-8	0
897-15-4	0
956-03-6	0
957-68-6	0
965-52-6	1
985-13-7	1
992-21-2	0
1070-11-7	0
1084-65-7	0
1094-08-2	1
1104-22-9	0
1115-70-4	0
1177-87-3	0
1197-18-8	0
1212-72-2	0
1220-83-3	0
1264-72-8	0
1393-48-2	1
1404-93-9	0
1405-87-4	0
1508-65-2	0
1508-76-5	0
1524-88-5	0
1553-34-0	1
1620-21-9	0
1649-18-9	0
1786-81-8	0
1986-47-6	0
2022-85-7	0
2030-63-9	1
2062-84-2	1
2135-17-3	0
2139-47-1	0
2363-58-8	0
2398-96-1	1
2438-72-4	1
2447-57-6	0
2508-72-7	0
2508-79-4	0
2668-66-8	0
2753-45-9	0
2773-92-4	0
43218-56-0	0
3093-35-4	1
3105-97-3	1
3160-91-6	0
3416-26-0	1
3485-14-1	0
3485-62-9	0
3598-37-6	0
3717-88-2	0
3759-92-0	1
3778-73-2	0
3819-00-9	1
3902-71-4	1
3963-95-9	0
4093-35-0	0
4574-60-1	0
4910-46-7	0
5072-45-7	0
5104-49-4	0
5575-21-3	0
5728-52-9	0
5870-29-1	0
5874-97-5	0
5985-00-2	0
5987-82-6	0
6064-83-1	0
6452-73-9	0
6620-60-6	0
7060-74-4	0
7104-38-3	0
7681-76-7	0
7681-93-8	0
8025-81-8	0
59-02-9	0
10310-32-4	1
10457-90-6	1
10592-13-9	0
11032-49-8	0
13171-25-0	0
13539-59-8	0
13710-19-5	1
14255-87-9	1
14611-52-0	0
14919-77-8	0
14976-57-9	1
14984-68-0	0
15180-03-7	0
15318-45-3	0
15421-84-8	0
15622-65-8	0
16034-77-8	0
1944-12-3	0
16773-42-5	0
16846-24-5	0
18694-40-1	1
18883-66-4	1
19387-91-8	0
19562-30-2	1
35898-87-4	1
20554-84-1	1
21187-98-4	0
21462-39-5	0
21736-83-4	0
21738-42-1	0
22071-15-4	0
22195-34-2	0
22232-54-8	0
22457-89-2	0
22494-42-4	0
22668-01-5	0
22881-35-2	1
22916-47-8	0
23031-32-5	0
23239-51-2	0
23256-30-6	0
23288-49-5	0
23327-57-3	0
23828-92-4	0
23930-37-2	0
23964-57-0	0
24280-93-1	1
24815-24-5	1
25389-94-0	0
25812-30-0	1
26839-75-8	0
27470-51-5	0
27523-40-6	1
27912-14-7	0
30544-47-9	1
31112-62-6	0
31431-39-7	1
31677-93-7	0
29560-58-5	0
32780-64-6	0
64872-77-1	1
32887-03-9	0
32986-56-4	0
33005-95-7	0
33125-97-2	0
33342-05-1	0
33419-42-0	1
33817-20-8	0
34097-16-0	0
34381-68-5	0
34552-84-6	0
35457-80-8	0
35543-24-9	0
36167-63-2	0
36330-85-5	0
37321-09-8	0
37661-08-8	0
38363-32-5	1
39878-70-1	0
40828-46-4	0
41340-25-4	0
41859-67-0	0
42200-33-9	0
42924-53-8	0
42971-09-5	1
43210-67-9	1
49697-38-3	0
50370-12-2	0
51022-98-1	1
51333-22-3	1
51781-21-6	0
51940-44-4	0
53179-09-2	0
53797-35-6	0
55142-85-3	1
54965-21-8	1
55268-74-1	0
55837-27-9	0
56211-40-6	0
56391-57-2	0
59017-64-0	0
59263-76-2	0
59804-37-4	0
59865-13-3	1
60166-93-0	0
60200-06-8	1
60925-61-3	0
61318-91-0	1
61413-54-5	0
63245-28-3	0
63074-08-8	0
64019-93-8	0
65277-42-1	1
65473-14-5	1
65513-72-6	1
67915-31-5	1
68844-77-9	1
69712-56-7	0
70458-96-7	0
73231-34-2	0
73334-07-3	0
73384-60-8	0
73590-58-6	1
73771-04-7	1
74011-58-8	0
64221-86-9	0
75695-93-1	1
76963-41-2	0
78110-38-0	0
78712-43-3	0
79350-37-1	0
79547-78-7	0
79902-63-9	1
80214-83-1	0
80474-14-2	0
81098-60-4	1
81110-73-8	1
81403-68-1	1
81732-46-9	0
82419-36-1	0
83881-52-1	0
83919-23-7	1
84370-95-6	0
85798-08-9	0
87333-19-5	0
87771-40-2	0
89796-99-6	0
92339-11-2	0
93107-08-5	0
93479-97-1	0
95233-18-4	1
96036-03-2	0
98079-52-8	0
98319-26-7	1
99592-39-9	1
112809-51-5	1
130693-82-2	0
135062-02-1	0
138890-62-7	0
2751-09-9	0
3200-06-4	0
3385-03-3	0
66734-13-2	0
3737-09-5	0
4360-12-7	0
138-92-1	0
66309-69-1	0
14176-50-2	0
71395-14-7	0
4310-35-4	0
52-62-0	0
52-88-0	0
67-03-8	0
69-43-2	1
129-16-8	0
132-93-4	0
137-88-2	0
138-14-7	0
140-64-7	1
108032-11-7	0
642-78-4	0
751-94-0	0
1405-41-0	0
1476-53-5	0
1642-54-2	0
1949-20-8	0
2169-75-7	0
2347-80-0	1
2624-44-4	0
3546-41-6	1
3734-33-6	0
4330-99-8	1
4697-14-7	0
5560-59-8	0
5714-90-9	0
68-89-3	0
6035-45-6	0
6151-25-3	1
6151-30-0	1
6153-33-9	0
6385-02-0	1
6398-98-7	0
6700-34-1	0
7177-50-6	0
7279-75-6	0
7421-40-1	0
15307-79-6	1
22373-78-0	1
24356-60-3	0
26155-31-7	0
26159-34-2	0
26807-65-8	0
207801-27-2	0
30034-03-8	0
33402-03-8	0
37091-65-9	0
38562-01-5	0
41621-49-2	1
42461-84-7	1
52152-93-9	0
52239-63-1	0
71720-56-4	0
54856-23-4	0
56392-17-7	0
56796-39-5	0
56974-61-9	0
64228-81-5	0
64485-93-4	0
64490-92-2	1
64953-12-4	0
73816-42-9	1
74103-07-4	0
77883-43-3	0
78439-06-2	0
83915-83-7	0
92953-10-1	1
2181-04-6	1
123171-59-5	0
129497-78-5	1
458-37-7	1
471-53-4	0
476-66-4	0
124-87-8	0
357-70-0	0
17692-51-2	1
57432-61-8	0
27848-84-6	0
131-03-3	0
302-79-4	1
83-88-5	1
501-30-4	0
29617-43-4	0
51-55-8	0
404-86-4	1
68-26-8	1
83-79-4	1
66104-23-2	0
511-12-6	1
70-70-2	0
83-73-8	1
105628-07-7	1
52468-60-7	1
1716-12-7	0
58-55-9	0
88107-10-2	1
136-40-3	1
72599-27-0	0
93106-60-6	0
97-18-7	1
115-02-6	1
4291-63-8	0
389-08-2	0
53902-12-8	1
54739-18-3	1
77-09-8	1
42835-25-6	0
132-60-5	0
17692-31-8	0
52-68-6	1
20559-55-1	1
3440-28-6	0
144-80-9	0
57-68-1	1
452-35-7	1
79416-27-6	0
60628-96-8	1
50-10-2	0
24169-02-6	1
57524-89-7	1
84625-61-6	1
848-53-3	1
13739-02-1	1
636-47-5	0
54767-75-8	1
78218-09-4	0
14007-64-8	0
57-41-0	1
1176-08-5	0
15826-37-6	0
362-74-3	0
74050-98-9	0
437-74-1	0
152-58-9	0
50-50-0	1
67-73-2	1
53123-88-9	1
80-50-2	0
75847-73-3	0
55096-26-9	0
518-28-5	1
33564-31-7	1
56-47-3	0
616-91-1	0
2169-64-4	1
50-22-6	1
53994-73-3	0
302-22-7	1
50-23-7	0
23930-19-0	1
76-25-5	1
3056-17-5	0
92-13-7	0
75330-75-5	1
382-67-2	0
62571-86-2	0
58-61-7	0
50-91-9	1
63-05-8	1
361-37-5	1
20830-81-3	1
61-76-7	0
42399-41-7	0
52-67-5	0
90-69-7	0
483-18-1	1
38090-53-8	0
338-69-2	0
1783-96-6	0
487-79-6	0
123040-69-7	0
25614-03-3	1
54239-37-1	0
77-23-6	1
28860-95-9	0
1166-34-3	0
70788-28-2	1
51411-04-2	0
510-74-7	1
23210-56-2	1
20229-30-5	1
41372-08-1	0
85181-40-4	1
486-12-4	0
50903-99-6	0
827-61-2	0
98330-05-3	0
207572-66-5	0
98774-23-3	1
156727-74-1	1
90293-01-9	1
54-80-8	1
6673-35-4	0
314-13-6	1
72702-95-5	0
533-45-9	0
5051-62-7	1
23672-07-3	0
80125-14-0	0
58493-49-5	0
160415-07-6	0
116861-00-8	0
54965-24-1	1
129453-61-8	1
66575-29-9	1
72332-33-3	0
102394-31-0	0
162408-66-4	1
59-05-2	1
110347-85-8	0
NOCAS_45676	1
64-86-8	1
94535-50-9	0
26833-87-4	1
183814-30-4	0
84088-42-6	0
84371-65-3	1
75859-03-9	1
85371-64-8	0
112192-04-8	1
111686-79-4	0
75272-39-8	1
72420-38-3	0
99617-34-2	0
1135280-78-2	1
84225-95-6	0
95847-70-4	0
87248-13-3	0
98769-84-7	0
61337-67-5	0
86347-15-1	0
58-00-4	1
65141-46-0	0
4394-04-1	1
4394-05-2	0
71320-77-9	0
21434-91-3	0
26538-44-3	1
1984-15-2	0
2901-75-9	0
102-77-2	1
29876-14-0	0
67268-43-3	1
668-94-0	1
147059-75-4	0
1027-14-1	0
129618-40-2	0
28721-07-5	0
112811-59-3	0
99011-02-6	1
54188-38-4	0
525-61-1	1
35944-74-2	0
1882-26-4	0
106017-08-7	0
27511-99-5	0
1480-19-9	0
732-11-6	1
63-25-2	1
464-49-3	0
80-56-8	0
59-87-0	1
102-06-7	1
10025-82-8	0
1300-72-7	0
55589-62-3	0
122-99-6	0
57-55-6	0
10043-35-3	0
6898-97-1	1
64092-48-4	0
65646-68-6	1
83905-01-5	0
7778-50-9	1
148-82-3	1
15663-27-1	1
72559-06-9	1
21245-02-3	0
53-03-2	1
10016-20-3	0
59-14-3	0
7585-39-9	0
55981-09-4	1
40596-69-8	0
117-84-0	1
159989-65-8	1
4097-22-7	0
91-20-3	0
67-66-3	0
20830-75-5	1
57-57-8	0
1397-89-3	1
106-48-9	0
556-08-1	0
95-50-1	0
90-05-1	0
320-67-2	1
151-67-7	0
51-03-6	0
154-42-7	1
57-13-6	1
599-79-1	1
55-98-1	0
67-63-0	1
84852-15-3	1
28728-55-4	1
108-88-3	0
56-81-5	0
101-83-7	0
124-07-2	0
71-36-3	0
112-57-2	0
94-13-3	1
50-21-5	1
84-66-2	0
86-87-3	0
62-73-7	1
7664-38-2	0
538-71-6	1
9002-93-1	1
56-23-5	0
481-30-1	0
151-21-3	0
76-03-9	0
140-72-7	1
7681-52-9	0
57-53-4	0
427-51-0	1
133-06-2	1
302-95-4	1
60-33-3	1
62-38-4	1
150-13-0	0
22888-70-6	1
463-40-1	1
109-69-3	0
4350-09-8	0
110-46-3	0
108-18-9	0
50-29-3	1
333-41-5	0
105-57-7	0
488-41-5	0
22839-47-0	0
119-36-8	0
75-15-0	0
111-30-8	0
548-62-9	1
109-66-0	0
112-80-1	0
126-07-8	1
56-04-2	0
149-91-7	1
92-84-2	1
99-66-1	0
122-59-8	0
96-50-4	0
67-56-1	0
118-92-3	0
67-64-1	1
2451-62-9	1
118-79-6	1
70-30-4	1
95-95-4	1
79-01-6	0
136-77-6	1
134-62-3	0
80-13-7	1
107-22-2	0
120-78-5	0
50-55-5	1
495-48-7	0
2058-46-0	1
538-23-8	0
628-02-4	0
97-23-4	1
103-84-4	0
98-01-1	0
1143-38-0	1
59-50-7	0
1306-19-0	0
124-04-9	0
99-65-0	0
72-20-8	1
65-86-1	0
117-10-2	1
1239-45-8	1
75-47-8	0
150-76-5	1
119-53-9	1
98-95-3	0
109-57-9	1
65-45-2	1
621-42-1	1
434-07-1	1
20562-02-1	1
79-43-6	0
97-53-0	0
169590-42-5	1
693-98-1	0
149845-06-7	1
97-54-1	1
104-46-1	0
108-46-3	0
91-64-5	1
67-20-9	1
87-66-1	0
14371-10-9	0
107-15-3	0
120-32-1	1
57-63-6	1
50-28-2	1
55268-75-2	0
137-26-8	1
7487-94-7	1
94-96-2	0
6197-30-4	1
57-11-4	0
102-76-1	0
938-73-8	0
55-38-9	1
50-44-2	1
80-46-6	1
NOCAS_47796	0
470-82-6	0
112-24-3	0
1343-78-8	1
110-44-1	0
57-06-7	0
141-78-6	0
106-89-8	0
70-34-8	1
101-72-4	1
55-86-7	1
4342-03-4	0
100-51-6	0
8001-35-2	1
118-56-9	1
121-75-5	0
30964-13-7	0
6484-52-2	0
7789-12-0	1
6533-68-2	1
10026-24-1	1
7681-38-1	0
13463-41-7	1
379-79-3	1
1465-25-4	1
298-59-9	0
52417-22-8	1
132-20-7	0
117414-74-1	0
76541-72-5	0
128312-51-6	0
35943-35-2	1
98323-83-2	0
119431-25-3	1
91940-87-3	0
363-24-6	1
112108-01-7	0
150375-75-0	0
79559-97-0	1
72-33-3	1
37517-28-5	0
98-92-0	0
147-94-4	1
98-50-0	0
153-94-6	0
34118-92-8	0
73218-79-8	0
75529-73-6	1
2079-89-2	0
909-39-7	1
56715-13-0	0
54301-15-4	1
69304-47-8	0
36067-72-8	1
36504-94-6	1
1021868-82-5	0
65391-42-6	0
33818-15-4	0
486-56-6	0
137160-11-3	1
1421-65-4	0
53-43-0	1
78590-17-7	1
96020-91-6	0
70641-51-9	0
35838-58-5	0
15639-50-6	0
57-47-6	0
97612-24-3	1
5053-08-7	0
3094-09-5	0
75507-68-5	0
68-96-2	1
645-35-2	0
66985-17-9	0
57852-57-0	1
87862-25-7	1
96850-13-4	1
82691-32-5	0
NOCAS_45775	0
56010-88-9	0
50924-49-7	0
17780-75-5	0
116666-63-8	1
156-57-0	0
53308-83-1	0
77257-42-2	1
61-16-5	0
5370-01-4	0
13614-98-7	1
77086-22-7	0
1049737-99-6	1
672-87-7	0
163000-63-3	0
550-99-2	0
135-23-9	0
14721-76-7	0
32795-47-4	0
4789-68-8	1
62-68-0	1
104344-23-2	0
70018-51-8	0
89874-80-6	0
50-34-0	1
101-26-8	0
959-24-0	0
71-27-2	0
312-84-5	0
94749-08-3	1
204005-46-9	1
71771-90-9	0
5464-78-8	0
52-49-3	0
39624-66-3	0
1098-60-8	1
56776-01-3	0
1197334-04-5	0
78416-81-6	1
4272-74-6	1
56-34-8	0
16595-80-5	0
37686-84-3	0
2062-77-3	1
104076-39-3	1
64887-14-5	0
119615-63-3	0
115626-53-4	0
61129-30-4	0
56-72-4	1
122-34-9	0
330-54-1	1
106-46-7	0
608-73-1	1
71751-41-2	1
3011-89-0	0
26002-80-2	0
138261-41-3	0
33089-61-1	1
120068-37-3	1
546-88-3	0
26787-78-0	0
86-13-5	0
4800-94-6	0
88-04-0	1
56-75-7	0
8068-28-8	0
132-65-0	1
5490-27-7	0
50-98-6	0
114-07-8	0
979-32-8	1
536-93-6	0
66-84-2	0
5321-32-4	0
31842-01-0	1
87-33-2	0
4618-18-2	0
71-58-9	1
7246-14-2	0
121-81-3	0
68-22-4	1
4682-36-4	0
28094-15-7	0
63-98-9	0
1405-20-5	0
50-24-8	1
52-21-1	0
13292-46-1	1
90-01-7	0
54-64-8	1
124-94-7	1
6411-75-2	0
1404-88-2	1
97-44-9	0
69235-50-3	1
521-74-4	1
461-05-2	0
2295-58-1	0
36504-56-0	0
1617-90-9	0
23642-66-2	1
7512-17-6	0
1461-15-0	1
440-58-4	1
5588-16-9	0
73-24-5	0
357-57-3	0
548-66-3	0
13636-18-5	1
58-58-2	1
3413-64-7	0
13187-06-9	1
25953-17-7	0
59-47-2	0
118-57-0	0
81-07-2	0
4245-41-4	1
3644-61-9	0
17575-22-3	1
1188-21-2	0
53716-49-7	0
63585-09-1	0
6489-61-8	0
26016-98-8	0
62893-20-3	0
50-59-9	0
84-65-1	0
117-37-3	0
70-18-8	0
120-51-4	0
590-46-5	1
148-01-6	0
924-49-2	0
4940-39-0	0
57-08-9	0
125-51-9	0
50-42-0	0
1715-30-6	1
82586-55-8	1
60414-06-4	0
90-80-2	0
4991-65-5	0
611-75-6	1
104376-79-6	0
63-56-9	0
1195-16-0	0
37693-01-9	1
15176-29-1	0
543-15-7	0
520-27-4	0
434-03-7	1
34161-23-4	1
6724-53-4	1
25999-20-6	1
13609-67-1	0
51-79-6	0
52-24-4	0
319-89-1	0
122-16-7	1
54-91-1	0
53370-90-4	1
13909-09-6	0
11121-32-7	0
102-29-4	0
55721-31-8	1
165108-07-6	0
26159-36-4	0
51022-69-6	0
3615-24-5	0
111-48-8	0
25122-46-7	1
2098-66-0	1
125-52-0	0
2622-26-6	0
141-90-2	0
86386-73-4	0
81-27-6	0
29767-20-2	1
1401-55-4	1
85-36-9	0
1722-62-9	0
93413-69-5	0
5451-09-2	0
70356-09-1	1
1665-48-1	0
81103-11-9	0
162011-90-7	0
NOCAS_45916	1
105816-04-4	0
138402-11-6	0
122320-73-4	0
114798-26-4	0
72432-03-2	0
96829-58-2	0
181695-72-7	1
186826-86-8	0
112529-15-4	1
86541-74-4	1
104227-87-4	0
163222-33-1	1
154323-57-6	1
144689-63-4	1
97519-39-6	0
137862-53-4	0
84485-00-7	0
147098-20-2	0
7085-55-4	0
976-71-6	1
144701-48-4	0
87679-37-6	0
191114-48-4	1
139264-17-8	0
6804-07-5	0
3366-95-8	0
70458-95-6	0
90098-04-7	0
74610-55-2	0
91296-87-6	0
14222-60-7	0
61422-45-5	0
2971-90-6	0
58066-85-6	0
64211-46-7	1
5610-40-2	1
79307-93-0	1
68693-11-8	0
82626-48-0	0
97240-79-4	0
210353-53-0	0
81131-70-6	1
148553-50-8	0
196597-26-9	1
102625-70-7	0
119413-54-6	1
100286-90-6	1
NOCAS_45954	0
145158-71-0	1
11006-34-1	1
481-49-2	1
27591-97-5	1
473-32-5	0
72-48-0	1
306-21-8	0
81496-81-3	1
621-23-8	0
515-69-5	0
52225-20-4	0
83-75-0	0
50-07-7	1
773-76-2	1
1415-73-2	0
34493-98-6	0
679809-58-6	0
18556-44-0	1
107868-30-4	0
2050-87-5	0
130-16-5	1
67-45-8	1
169590-41-4	0
486-79-3	0
6192-62-7	0
488-82-4	0
5508-58-7	1
497-76-7	0
14073-97-3	0
68-94-0	0
528-50-7	0
1180-71-8	0
83-46-5	0
544-62-7	0
60-27-5	0
337-47-3	0
6138-56-3	0
81-23-2	0
1405-86-3	0
552-79-4	0
58-63-9	0
83-40-9	0
31282-04-9	1
111470-99-6	1
489-84-9	0
40716-66-3	0
103628-46-2	0
80621-81-4	1
17406-45-0	1
546-06-5	1
35212-22-7	0
514-78-3	0
144034-80-0	0
219861-08-2	0
26027-38-3	1
111974-69-7	0
133-11-9	0
53-06-5	1
73573-88-3	1
13426-94-3	0
103055-07-8	1
113-73-5	1
13870-90-1	1
42228-92-2	1
108050-54-0	0
61177-44-4	0
552-94-3	0
12192-57-3	1
9041-93-4	1
2627-69-2	0
996-19-0	0
121268-17-5	0
34140-59-5	0
76-74-4	0
132539-06-1	0
7235-40-7	0
574-25-4	1
59-30-3	0
50-89-5	0
66-72-8	0
51-43-4	0
81-13-0	0
58-95-7	0
33755-46-3	1
NOCAS_47802	0
58-25-3	0
68291-97-4	0
135046-48-9	1
31698-14-3	1
604-75-1	1
118-60-5	0
100643-71-8	1
859-18-7	0
968-93-4	0
69975-86-6	0
67-97-0	1
153-61-7	0
110871-86-8	0
16051-77-7	0
154598-52-4	1
3810-74-0	0
89785-84-2	1
134678-17-4	0
1538-09-6	0
36282-47-0	0
50935-04-1	1
91161-71-6	0
518-47-8	1
797-63-7	1
60-18-4	0
57-88-5	0
7414-83-7	0
56180-94-0	0
76-49-3	0
808-48-0	0
115-38-8	0
146-22-5	1
134-09-8	1
102518-79-6	0
573-58-0	1
122-46-3	0
123-63-7	1
36653-82-4	0
112-92-5	0
661-19-8	0
110-15-6	0
89-83-8	0
302-17-0	0
106-50-3	1
99-76-3	1
98-54-4	0
59-88-1	0
94-36-0	0
89-78-1	0
2315-68-6	0
89-68-9	1
13081-34-0	0
78-11-5	1
104-06-3	0
52645-53-1	0
71-67-0	0
57-15-8	0
537-55-3	0
15351-13-0	0
103-03-7	0
635-41-6	0
129-81-7	0
2610-86-8	0
360-70-3	0
4065-45-6	0
108341-18-0	0
77-21-4	0
87-89-8	0
608-66-2	0
77-86-1	0
80-53-5	0
72-63-9	0
3380-34-5	1
37076-68-9	0
57-44-3	0
115-33-3	1
484-23-1	0
1953-02-2	0
84-80-0	0
